,case_name,run_ref,model,process_time,preprocess_time,read_time,write_time,outfile_openings,outfile_seeks,infile_openings,infile_seeks,max_voxels,success
0,case 4_3,3,baseline,909.9074761867523,0.0,207.1396553516388,693.0895073413849,0,196336576,1000,0,0,True
0,case 4_1,1,baseline,581.302264213562,0.0,262.96044087409973,317.9798338413238,0,73500048,64,0,0,True
0,case 4_3,3,keep,505.8733813762665,3.9764046669006343,269.6191327571869,80.41994333267213,2744,0,2200,2200,236875000,True
0,case 4_5,5,keep,378.92190885543823,0.07534098625183105,272.095709323883,50.16182541847229,196,0,640,480,787500000,True
0,case 4_1,1,keep,384.35533618927,0.015229940414428713,225.37424731254575,55.05982732772827,100,0,128,128,1393437500,True
0,case 4_6,6,baseline,363.01587986946106,0.0,251.3758056163788,110.6994469165802,0,210000,400,0,0,True
0,case 4_4,4,baseline,1576.926064491272,0.0,304.0903663635254,1196.2875888347626,0,392000000,8000,0,0,True
0,case 4_4,4,keep,718.3426613807678,11.517776012420654,468.9406235218048,83.05823826789856,2744,0,12800,9600,236875000,True
0,case 4_2,2,keep,427.6291043758392,0.19043898582458496,298.30365991592413,44.256632804870605,343,0,1600,1200,1195000000,True
0,case 4_0,0,keep,400.5127575397492,0.004514217376708984,288.7537777423858,110.02922534942628,32,0,64,0,2679687500,True
0,case 4_0,0,baseline,493.4586293697357,0.0,254.2502338886261,239.02933621406555,0,56000,64,0,0,True
0,case 4_5,5,baseline,574.0126535892488,0.0,245.590505361557,327.74753022193914,0,196000000,400,0,0,True
0,case 4_2,2,baseline,857.3669333457947,0.0,232.45573115348816,623.4089858531953,0,196000000,1000,0,0,True
0,case 4_6,6,keep,362.3007247447968,0.3729252815246582,258.44277358055115,63.68392038345337,700,0,400,0,673750000,True
