,case_name,run_ref,model,process_time,preprocess_time,read_time,write_time,outfile_openings,outfile_seeks,infile_openings,infile_seeks,max_voxels,success
0,case 2_1,1,baseline,5719.702325582503,0.0,2728.551480054856,2990.208891153336,0,384096024,64,0,0,True
0,case 2_6,6,baseline,4852.995027065277,0.0,2259.6303391456604,2419.610155582428,0,2048000000,8000,0,0,True
0,case 2_6,6,keep,4570.96661400795,9.120009899139404,2875.2430548667908,588.1741726398467,4096,0,8000,0,27756000000,True
0,case 2_3,3,baseline,10270.0267264843,0.0,7696.385507583618,2542.509188175201,0,1025025024,1000,0,0,True
0,case 2_3,3,keep,13120.062698841097,3.836390495300293,8274.172401189804,693.4220805168152,4096,0,1000,0,27756000000,True
0,case 2_5,5,keep,21535.587785482407,8916.772228479385,3289.6633393764496,1631.2035374641418,125000,0,64000,0,7785792000,True
0,case 2_5,5,baseline,23191.779865980152,0.0,2720.412444353104,5542.234800100327,0,3849624000,64000,0,0,True
0,case 2_1,1,keep,3491.358861684799,0.011270761489868164,2238.143442392349,456.22832107543945,125,0,64,0,101952000000,True
0,case 2_2,2,keep,32432.556876659393,0.17899274826049805,15400.891105651855,1206.4367561340332,512,0,1000,0,63968000000,True
0,case 2_0,0,keep,2709.500603199005,0.00272369384765625,2222.345886707306,484.6933443546295,32,0,64,0,32000000000,True
0,case 2_7,7,keep,5787.200867891313,245.7768099308014,2301.7250974178314,946.5100526809692,32768,0,8000,0,13209500000,True
0,case 2_0,0,baseline,2931.3668904304504,0.0,2105.3533923625946,825.6186530590057,0,128000,64,0,0,True
0,case 2_4,4,keep,11325.143460988998,575.094348192215,6017.218433380127,966.0852999687196,32768,0,64000,0,13209500000,True
0,case 2_2,2,baseline,12273.532114982605,0.0,7239.287892341614,5028.980165719986,0,1024000000,1000,0,0,True
0,case 2_4,4,baseline,14210.459613323213,0.0,2761.018968105316,5836.458581686021,0,4096000000,64000,0,0,True
0,case 2_7,7,baseline,6345.899924039842,0.0,2258.317358970642,3128.972822666168,0,2052104192,8000,0,0,True
